-46,-98,-94,-96,-30,-47,-6,-39,-43,-78,-5,-63,-28,-9,-88,-11,-27,-92,-17,-10,
79,48,0,42,0,67,16,0,3,0,39,0,18,0,2,0,0,89,0,91,53
36,40,0,0,0,25,0,34,0,38,96,0,0,42,8,0,3,48,10,66,3
37,0,5,13,0,0,95,0,83,0,0,0,87,0,0,0,8,81,0,0,87
84,62,79,50,0,0,0,0,0,0,0,69,0,0,76,94,0,0,38,35,0
0,36,0,27,0,100,0,40,0,14,0,31,46,97,0,56,0,28,0,6,76
24,0,41,66,68,0,0,0,33,91,62,64,94,0,0,0,0,0,34,0,0
0,18,0,38,21,0,0,0,20,22,0,60,4,0,0,0,60,73,0,0,0
59,85,0,53,22,12,0,0,0,0,0,61,0,67,83,0,0,0,68,13,0
0,0,5,0,47,53,0,0,30,86,0,0,67,15,0,0,0,0,46,0,0
10,81,0,0,0,0,54,0,0,0,0,74,6,0,81,84,61,0,0,0,0
51,0,0,30,67,0,61,0,0,0,0,0,46,0,46,68,44,12,0,26,61
0,55,39,0,0,0,0,9,0,0,0,0,83,37,82,92,0,11,12,30,43
72,0,0,0,7,0,0,0,4,5,0,77,32,46,0,0,31,0,48,0,0
0,0,0,51,42,0,0,0,0,35,0,42,0,0,0,0,0,0,0,0,95
0,55,88,57,0,64,0,84,29,0,0,37,0,7,0,32,44,0,0,0,50
49,0,0,33,0,57,96,81,0,92,0,0,0,0,83,2,0,7,0,53,51
34,3,0,0,0,0,0,0,45,0,76,85,30,86,0,0,66,69,81,29,0
58,71,0,0,0,59,0,0,0,0,0,0,0,0,0,6,0,0,61,15,0
0,40,0,100,71,96,60,33,0,0,83,0,0,0,0,0,0,0,53,28,36
0,83,0,36,0,0,0,0,73,86,16,67,30,0,0,0,0,39,2,84,0
