id,timeAtServer,aircraft,latitude,longitude,baroAltitude,geoAltitude,numMeasurements,measurements
14040,7.63400006294251,766,48.3419851529396,10.0698370682566,8397.24,8336.28,5,"[[263,8605679765,49],[141,8605694015,76],[598,8605621531,34],[143,8605729890,85],[10,8605881828,77]]"
17506,9.52699995040894,2279,47.7745056152344,9.40450286865234,9136.38,9067.8,5,"[[632,10516465046,84],[147,10516465031,94],[598,10516428343,84],[263,10516497234,44],[10,10516318250,101]]"
26543,14.5209999084473,1848,47.7379698672537,10.0107281024639,10363.2,10241.28,5,"[[263,15508919125,81],[598,15508849843,68],[149,15509022062,33],[141,15508554953,86],[10,15508812828,88]]"
45219,24.7920000553131,401,48.5360148801642,9.16086297286184,10050.78,9875.52,5,"[[263,25780127406,75],[257,25780556062,46],[598,25780068296,151],[141,25780463625,69],[143,25780568062,105]]"
53004,29.0659999847412,1868,47.9901433395127,9.77346567007211,11277.6,11125.2,5,"[[598,30049822046,27],[147,30050033531,66],[632,30050033562,62],[263,30049891515,65],[141,30049744796,58]]"
53420,29.308000087738,1014,47.3591743081303,8.09121938852163,10972.8,10820.4,5,"[[14,30299784203,73],[663,30300645906,31],[10,30299802468,75],[147,30299799281,84],[632,30299799312,72]]"
96631,52.9470000267029,1910,48.9842834472656,9.01315542367788,12184.38,12062.46,5,"[[299,53936442093,34],[257,53936800625,73],[663,53936684734,66],[143,53936945812,119],[10,53936893328,121]]"
111432,61.0160000324249,766,48.4209843005164,9.97348986173931,7658.1,7620,5,"[[257,62001368015,37],[263,62001159859,61],[598,62001103000,44],[143,62001271078,83],[141,62001244531,91]]"
171894,94.1400001049042,2804,47.2993011474609,9.95663452148438,10668,10538.46,5,"[[263,95126721093,45],[257,95126959562,25],[632,95126524265,98],[147,95126524218,86],[141,95126216109,80]]"
184077,100.805999994278,654,49.3413220421743,9.44773623817845,11277.6,11094.72,5,"[[263,101786277328,59],[598,101786335062,52],[663,101786413171,77],[141,101786804484,60],[10,101786843515,76]]"
203004,111.128000020981,638,39.5476684570313,-7.68583214801288,11277.6,11300.46,5,"[[136,112076497265,26],[402,112076801234,27],[564,112076401078,101],[568,112076193062,71],[569,112076179250,134]]"
203086,111.176000118256,965,48.0258636474609,8.8978271484375,10972.8,10835.64,5,"[[632,112162642203,22],[147,112162642171,51],[598,112162518234,51],[143,112162899625,98],[257,112162991468,52]]"
218707,119.81200003624,638,39.5322069071107,-7.69354248046875,11277.6,11300.46,5,"[[136,120776027500,48],[564,120775932828,68],[402,120776330859,27],[568,120775732046,74],[569,120775711296,139]]"
234208,128.398000001907,2778,47.5579058113745,9.91917536808894,9753.6,9669.78,5,"[[147,129391308578,53],[632,129391308671,44],[263,129391389750,56],[143,129391352843,173],[598,129391319656,45]]"
234637,128.624000072479,124,47.7134399414063,9.51107025146484,10668,10507.98,5,"[[147,129607399515,61],[632,129607399531,43],[598,129607384062,46],[141,129607216718,103],[263,129607453515,30]]"
250230,137.290999889374,864,48.3920288085938,8.98739463404605,8656.32,8564.88,5,"[[257,138272912640,50],[263,138272473843,82],[143,138272897875,83],[598,138272420250,100],[141,138272741171,39]]"
273692,150.073999881744,1394,39.3319244384766,-7.36681067425269,12192,12192,5,"[[569,151008692078,130],[136,151009168890,38],[568,151008936984,57],[564,151009107015,98],[402,151009348218,30]]"
279107,152.984999895096,1394,39.3372461351298,-7.36236572265625,12192,12192,5,"[[568,153949023390,52],[402,153949437375,25],[569,153948780359,166],[136,153949257906,25],[564,153949195515,89]]"
286259,156.927999973297,1394,39.3443686275159,-7.3564453125,12192,12192,5,"[[136,157889190281,39],[564,157889127218,86],[568,157888952218,37],[569,157888711734,164],[402,157889369875,32]]"
287106,157.411000013351,395,48.3127968998279,8.6692970677426,11262.36,11125.2,5,"[[299,158400711343,102],[124,158400978687,36],[632,158401061031,97],[263,158400829234,93],[598,158400789625,77]]"
298673,163.75200009346,1394,39.3564256571107,-7.34637451171875,12192,12192,5,"[[136,164719388859,37],[564,164719324546,87],[402,164719568687,28],[569,164718908781,172],[568,164719144703,64]]"
306071,167.802000045776,1394,39.3635481494968,-7.34051513671875,12192,12192,5,"[[568,168768656250,73],[402,168769083984,23],[136,168768903984,54],[569,168768423109,185],[564,168768839000,100]]"
319881,175.335999965668,1394,39.377048298464,-7.32928466796875,12192,12192,5,"[[136,176299458625,54],[564,176299392312,99],[402,176299638921,38],[568,176299204265,63],[569,176298976281,173]]"
325063,178.153000116348,1394,39.3820293879105,-7.32513427734375,12192,12192,5,"[[569,179118363968,155],[564,179118780093,87],[568,179118590015,59],[136,179118846859,28],[402,179119027250,28]]"
370728,202.946000099182,83,47.63159800384,13.9060856745793,10972.8,10820.4,5,"[[133,203919046828,51],[142,203919093093,56],[143,203919105609,85],[149,203918906296,77],[257,203919462828,26]]"
375365,205.483000040054,2119,47.7271728515625,10.3552322387695,10972.8,10797.54,5,"[[257,206460833515,46],[147,206460723765,72],[149,206460649156,24],[143,206460518171,90],[141,206460238765,82]]"
380055,208.019999980927,755,48.5893707275391,9.44056584284856,5227.32,5196.84,5,"[[257,209007357593,51],[263,209006987953,118],[598,209006922093,56],[141,209007309140,23],[143,209007367703,84]]"
389737,213.30999994278,2804,47.4153163069386,10.2672870342548,10683.24,10561.32,5,"[[147,214297596500,69],[632,214297596531,83],[598,214297627171,48],[141,214297132843,66],[149,214297653406,44]]"
443248,242.535000085831,1512,46.1365356445313,11.5749005573552,13716,13655.04,5,"[[149,243505494250,85],[132,243505130281,46],[143,243505545859,78],[133,243505466078,24],[10,243505603234,70]]"
458694,250.911000013351,213,47.4164886474609,10.1372222900391,8961.12,8854.44,5,"[[632,251897593718,49],[257,251897920718,28],[141,251897170062,128],[143,251897599859,91],[598,251897641109,34]]"
458695,250.911000013351,213,47.4164886474609,10.1372222900391,8961.12,8862.06,5,"[[632,251897593718,49],[257,251897920718,28],[141,251897170062,128],[143,251897599859,91],[598,251897641109,34]]"
