id,timeAtServer,aircraft,latitude,longitude,baroAltitude,geoAltitude,numMeasurements,measurements
689,0.335000038146973,1592,47.6206970214844,9.98609161376953,7886.7,7840.98,5,"[[632,1320266921,24],[147,1320267015,46],[598,1320237390,29],[143,1320258203,117],[141,1319881421,108]]"
1281,0.66100001335144,411,48.4739227294922,8.24876051682692,10668,10561.32,5,"[[632,1643851968,45],[147,1643852015,43],[598,1643584406,35],[10,1643728062,52],[299,1643456531,61]]"
2188,1.15700006484985,153,39.4041882531118,-8.13043212890625,11277.6,11292.84,5,"[[136,2117027390,32],[564,2116930671,123],[402,2117430750,29],[569,2116907562,151],[568,2116869203,50]]"
40464,22.3420000076294,1533,46.4339904785156,10.1079577934451,10957.56,10759.44,5,"[[147,23327437515,65],[132,23327258718,32],[598,23327801343,66],[149,23327771531,80],[10,23327449843,135]]"
48349,26.6870000362396,334,47.4152069091797,10.1228713989258,9235.44,9144,5,"[[632,27680118125,65],[598,27680168187,47],[141,27679701343,129],[143,27680130953,87],[10,27680018453,83]]"
49634,27.4079999923706,1729,48.2107543945313,8.4616410104852,8854.44,8793.48,5,"[[124,28400594796,32],[632,28400695593,62],[147,28400695609,46],[263,28400566843,48],[598,28400530625,46]]"
53521,29.5710000991821,418,48.2216491699219,9.246826171875,7818.12,7734.3,5,"[[257,30541000875,34],[141,30540737921,104],[598,30540550375,73],[143,30540923578,87],[10,30540711234,109]]"
85299,47.0859999656677,1638,47.5709404379635,10.0528423602764,8458.2,8420.1,5,"[[632,48067641453,42],[147,48067641515,56],[263,48067698062,51],[141,48067227359,102],[598,48067628328,78]]"
91788,50.6470000743866,1592,47.6478881835938,10.1090698242188,7376.16,7338.06,5,"[[632,51640558187,21],[147,51640558203,62],[143,51640486859,78],[141,51640123000,146],[10,51640436968,57]]"
96113,53.0420000553131,1810,48.5099456269862,8.64587884200247,10972.8,10797.54,5,"[[632,54025084000,54],[147,54025084109,52],[263,54024726000,42],[299,54024597625,47],[598,54024703453,76]]"
106122,58.5339999198914,1652,46.4626247599974,10.0657424926758,11277.6,11087.1,5,"[[147,59515685187,61],[132,59515531703,71],[143,59515982984,93],[141,59515585859,64],[149,59516031734,52]]"
