timeAtServer,aircraft,latitude,longitude,baroAltitude,geoAltitude,sensors,toas
7.634000062942508,766,48.34198515293961,10.0698370682566,8397.24,8336.28,"[263, 141, 598, 143, 10]","[8605679765, 8605694015, 8605621531, 8605729890, 8605881828]"
14.520999908447301,1848,47.7379698672537,10.010728102463899,10363.2,10241.28,"[263, 598, 149, 141, 10]","[15508919125, 15508849843, 15509022062, 15508554953, 15508812828]"
24.7920000553131,401,48.5360148801642,9.160862972861839,10050.78,9875.52,"[263, 257, 598, 141, 143]","[25780127406, 25780556062, 25780068296, 25780463625, 25780568062]"
29.0659999847412,1868,47.9901433395127,9.77346567007211,11277.6,11125.2,"[598, 147, 632, 263, 141]","[30049822046, 30050033531, 30050033562, 30049891515, 30049744796]"
52.9470000267029,1910,48.984283447265604,9.013155423677881,12184.38,12062.46,"[299, 257, 663, 143, 10]","[53936442093, 53936800625, 53936684734, 53936945812, 53936893328]"
61.0160000324249,766,48.420984300516395,9.97348986173931,7658.1,7620.0,"[257, 263, 598, 143, 141]","[62001368015, 62001159859, 62001103000, 62001271078, 62001244531]"
94.14000010490419,2804,47.2993011474609,9.95663452148438,10668.0,10538.46,"[263, 257, 632, 147, 141]","[95126721093, 95126959562, 95126524265, 95126524218, 95126216109]"
100.805999994278,654,49.3413220421743,9.447736238178447,11277.6,11094.72,"[263, 598, 663, 141, 10]","[101786277328, 101786335062, 101786413171, 101786804484, 101786843515]"
111.176000118256,965,48.0258636474609,8.8978271484375,10972.8,10835.64,"[632, 147, 598, 143, 257]","[112162642203, 112162642171, 112162518234, 112162899625, 112162991468]"
128.398000001907,2778,47.5579058113745,9.91917536808894,9753.6,9669.78,"[147, 632, 263, 143, 598]","[129391308578, 129391308671, 129391389750, 129391352843, 129391319656]"
128.624000072479,124,47.7134399414063,9.51107025146484,10668.0,10507.98,"[147, 632, 598, 141, 263]","[129607399515, 129607399531, 129607384062, 129607216718, 129607453515]"
137.290999889374,864,48.3920288085938,8.98739463404605,8656.32,8564.88,"[257, 263, 143, 598, 141]","[138272912640, 138272473843, 138272897875, 138272420250, 138272741171]"
150.07399988174402,1394,39.3319244384766,-7.36681067425269,12192.0,12192.0,"[569, 136, 568, 564, 402]","[151008692078, 151009168890, 151008936984, 151009107015, 151009348218]"
152.984999895096,1394,39.337246135129796,-7.36236572265625,12192.0,12192.0,"[568, 402, 569, 136, 564]","[153949023390, 153949437375, 153948780359, 153949257906, 153949195515]"
156.927999973297,1394,39.3443686275159,-7.3564453125,12192.0,12192.0,"[136, 564, 568, 569, 402]","[157889190281, 157889127218, 157888952218, 157888711734, 157889369875]"
157.411000013351,395,48.3127968998279,8.6692970677426,11262.36,11125.2,"[299, 124, 632, 263, 598]","[158400711343, 158400978687, 158401061031, 158400829234, 158400789625]"
163.75200009346,1394,39.35642565711071,-7.34637451171875,12192.0,12192.0,"[136, 564, 402, 569, 568]","[164719388859, 164719324546, 164719568687, 164718908781, 164719144703]"
167.802000045776,1394,39.3635481494968,-7.34051513671875,12192.0,12192.0,"[568, 402, 136, 569, 564]","[168768656250, 168769083984, 168768903984, 168768423109, 168768839000]"
178.153000116348,1394,39.3820293879105,-7.32513427734375,12192.0,12192.0,"[569, 564, 568, 136, 402]","[179118363968, 179118780093, 179118590015, 179118846859, 179119027250]"
202.94600009918202,83,47.63159800384,13.9060856745793,10972.8,10820.4,"[133, 142, 143, 149, 257]","[203919046828, 203919093093, 203919105609, 203918906296, 203919462828]"
205.483000040054,2119,47.7271728515625,10.355232238769501,10972.8,10797.54,"[257, 147, 149, 143, 141]","[206460833515, 206460723765, 206460649156, 206460518171, 206460238765]"
208.019999980927,755,48.5893707275391,9.44056584284856,5227.32,5196.84,"[257, 263, 598, 141, 143]","[209007357593, 209006987953, 209006922093, 209007309140, 209007367703]"
213.30999994278,2804,47.4153163069386,10.267287034254801,10683.24,10561.32,"[147, 632, 598, 141, 149]","[214297596500, 214297596531, 214297627171, 214297132843, 214297653406]"
242.535000085831,1512,46.1365356445313,11.5749005573552,13716.0,13655.04,"[149, 132, 143, 133, 10]","[243505494250, 243505130281, 243505545859, 243505466078, 243505603234]"
250.91100001335099,213,47.4164886474609,10.1372222900391,8961.12,8854.44,"[632, 257, 141, 143, 598]","[251897593718, 251897920718, 251897170062, 251897599859, 251897641109]"
250.91100001335099,213,47.4164886474609,10.1372222900391,8961.12,8862.06,"[632, 257, 141, 143, 598]","[251897593718, 251897920718, 251897170062, 251897599859, 251897641109]"
257.227999925613,1868,47.602223541777,10.091294508713899,11277.6,11125.2,"[632, 147, 598, 263, 149]","[258212850718, 258212850656, 258212817812, 258212887250, 258212933953]"
279.27999997139,515,46.7675628662109,10.069438655202001,11277.6,11178.54,"[632, 598, 132, 141, 10]","[280272011312, 280272304703, 280272007546, 280271838187, 280271990218]"
279.48300004005404,766,48.7916107177734,9.63409423828125,6705.6,6652.26,"[257, 263, 143, 598, 141]","[280473409796, 280473115390, 280473477828, 280473093734, 280473498359]"
279.588999986649,1074,47.45365905761721,9.8470458984375,11887.2,11765.28,"[147, 141, 632, 598, 10]","[280580583171, 280580283312, 280580583218, 280580656640, 280580475859]"
290.34400010108897,1259,47.4450166346663,9.35267521784856,7711.44,7650.48,"[632, 598, 143, 141, 147]","[291329164531, 291329333593, 291329494109, 291329098234, 291329164484]"
298.269000053406,1547,47.827606201171896,9.53627014160156,9121.14,8976.36,"[147, 632, 598, 141, 10]","[299252961453, 299252961453, 299252873218, 299252759546, 299252815375]"
314.295000076294,124,47.72200012207029,10.0556488037109,10668.0,10507.98,"[632, 263, 141, 147, 10]","[315286883640, 315286863781, 315286478421, 315286883671, 315286756093]"
375.757999897003,1868,47.400238037109396,10.2545013427734,11277.6,11125.2,"[141, 147, 598, 632, 149]","[376733356859, 376733810484, 376733849265, 376733810468, 376733877375]"
376.089999914169,2729,48.5470943127648,9.01970311215049,8145.78,8054.34,"[257, 263, 141, 299, 598]","[377076274125, 377075822015, 377076183031, 377075773203, 377075775578]"
383.746000051498,2729,48.562042236328104,9.023719200721152,8069.58,7970.52,"[299, 257, 598, 141, 263]","[384735823656, 384736322078, 384735823328, 384736238656, 384735868750]"
386.869999885559,2729,48.567763506355895,9.02519627621299,8039.1,7947.66,"[263, 598, 257, 299, 141]","[387855530250, 387855485312, 387855984109, 387855486796, 387855903875]"
392.75699996948197,1074,47.3911285400391,10.200599670410199,11879.58,11750.04,"[632, 598, 141, 149, 147]","[393740598562, 393740648328, 393740165640, 393740692781, 393740598531]"
397.151999950409,2729,48.58764131190411,9.030400326377473,7932.42,7840.98,"[598, 257, 141, 143, 10]","[398135319671, 398135818437, 398135748546, 398135852218, 398135694421]"
398.255000114441,1504,48.256439208984396,9.17654184194711,11582.4,11407.14,"[632, 147, 598, 141, 10]","[399244188468, 399244188468, 399243858875, 399244077515, 399244033968]"
402.420000076294,2729,48.59755693855929,9.0329300729852,7886.7,7795.26,"[257, 299, 598, 263, 143]","[403405583656, 403405092562, 403405085015, 403405127203, 403405620109]"
431.405999898911,1259,47.42399597167971,9.71047210693359,8747.76,8671.56,"[257, 141, 632, 598, 263]","[432391305203, 432390618531, 432390849125, 432390960375, 432391030484]"
440.42700004577597,822,47.357025146484396,10.403846740722699,10820.4,10645.14,"[598, 257, 263, 143, 141]","[441401515046, 441401753796, 441401583859, 441401399000, 441401010093]"
