id,timeAtServer,aircraft,latitude,longitude,baroAltitude,geoAltitude,numMeasurements,measurements
46875,26.6259999275208,382,46.3977309404794,10.0994567871094,11277.6,11163.3,5,"[[598,27594293609,29],[132,27593725375,51],[143,27594218890,108],[149,27594263015,67],[10,27593937640,69]]"
65210,37.066999912262,1523,47.6476585258872,9.8089599609375,10972.8,10881.36,5,"[[632,38053221859,23],[147,38053221859,54],[263,38053271375,45],[143,38053277906,101],[10,38053094640,100]]"
205416,117.401000022888,224,47.3599548339844,8.27613830566406,10325.1,10264.14,5,"[[632,118392016734,47],[124,118392086562,29],[14,118391974765,67],[147,118392016703,94],[143,118392775031,30]]"
261609,150.150000095367,1774,48.6388092041016,8.90237661508413,10675.62,10599.42,5,"[[299,151139023546,28],[598,151139066515,64],[263,151139087921,98],[257,151139558968,74],[10,151139433781,111]]"
271661,156.010999917984,91,47.3115979210805,8.33932729867788,9364.98,9326.88,5,"[[147,157000767421,63],[14,157000722265,42],[632,157000767421,98],[598,157001230234,43],[124,157000876875,50]]"
515530,295.743999958038,1912,47.4158020019531,10.2051315307617,9761.22,9700.26,5,"[[632,296733569343,51],[147,296733569343,38],[598,296733607968,39],[143,296733548156,73],[10,296733470828,105]]"
515531,295.743999958038,1912,47.4158020019531,10.2051315307617,9761.22,9692.64,5,"[[632,296733569343,51],[147,296733569343,38],[598,296733607968,39],[143,296733548156,73],[10,296733470828,105]]"
697175,400.615999937058,2196,48.4077301025391,8.45919095552885,5341.62,5273.04,5,"[[632,401603356640,19],[147,401603356656,52],[598,401603075156,81],[263,401603098765,37],[10,401603223359,114]]"
755893,433.668999910355,2207,47.4613099179025,10.1605928861178,11887.2,11788.14,5,"[[147,434656386796,49],[143,434656366671,90],[598,434656411046,27],[632,434656386750,79],[10,434656283375,101]]"
767946,440.46900010109,432,48.4843597412109,8.81519024188702,10058.4,9921.24,5,"[[299,441453148656,36],[10,441453479625,85],[257,441453715812,82],[598,441453215734,109],[143,441453733265,68]]"
841270,483.174999952316,2207,47.3746762033236,10.2425677959736,11887.2,11788.14,5,"[[147,484168118312,44],[598,484168169406,52],[149,484168198484,44],[632,484168118343,73],[263,484168238906,22]]"
949972,546.477999925613,2435,47.8832702636719,9.55611419677734,11498.58,11369.04,5,"[[147,547467241640,58],[632,547467241625,56],[598,547467115109,78],[257,547467494500,38],[263,547467184921,34]]"
1515054,872.078000068665,461,48.4988708496094,8.83096548227163,5196.84,5128.26,5,"[[299,873065719109,98],[598,873065786500,82],[263,873065822281,35],[257,873066288390,48],[10,873066063953,114]]"
1535109,883.77999997139,2396,48.3525059586864,8.96202488949424,5204.46,5166.36,5,"[[598,884756916453,110],[257,884757409406,48],[143,884757385718,134],[263,884756970562,43],[10,884757126625,131]]"
1554006,894.93499994278,1545,46.2810244802701,10.5548400878906,11277.6,11193.78,5,"[[132,895910245000,44],[598,895910919671,63],[143,895910769515,93],[149,895910784296,78],[10,895910604390,90]]"
1595976,919.588999986649,461,48.4330413301112,8.75039351613898,5692.14,5631.18,5,"[[299,920577081046,53],[263,920577196343,50],[598,920577160015,85],[143,920577670453,88],[10,920577380609,94]]"
1642835,946.345999956131,2161,47.4614961268538,8.05135873647837,10668,10607.04,5,"[[147,947328163812,83],[632,947328163781,74],[124,947328119671,46],[598,947328542765,22],[14,947328136796,49]]"
1643387,946.663000106811,2435,48.6628875732422,9.25161508413461,8602.98,8526.78,5,"[[257,947654108203,76],[263,947653681515,85],[598,947653623593,43],[143,947654152468,62],[10,947654086609,91]]"
1852680,1068.4240000248,1494,47.3560180664063,8.56027221679688,11277.6,11201.4,5,"[[14,1069404433234,82],[147,1069404516734,85],[598,1069404913140,35],[632,1069404516718,133],[10,1069404422640,166]]"
